eventTime,roundNumber,roundTime,systemTime,matchLogItemType,entryValue,blueAddPoints,redAddPoints,score,blueGeneralPoints,redGeneralPoints,bluePoints,redPoints,bluePenalties,redPenalties,blueTotalPenalties,redTotalPenalties,blueGoldenPointHits,redGoldenPointHits,blueGoldenPointPenalties,redGoldenPointPenalties,goldenPointRound,entryValue,blueVideoQuota,redVideoQuota
1707504133493,1,1707426090000,1707504133493,OT_BLUE_JUDGE_PUNCH,2,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,2,1,1
1707504206266,1,1707426090000,1707504206266,OT_BLUE_BODY_HIT,13,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,13,1,1
1707504208835,1,1707426090000,1707504208835,OT_BLUE_HEAD_HIT,15,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,15,1,1
1707504215798,1,1707426090000,1707504215798,OT_RED_BODY_HIT,9,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,9,1,1
1707504218455,1,1707426090000,1707504218455,OT_RED_HEAD_HIT,8,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,8,1,1
1707504262536,1,1707426090000,1707504262536,OT_BLUE_HEAD_HIT,23,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,23,1,1
1707504268534,1,1707426090000,1707504268534,OT_BLUE_HEAD_HIT,10,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,10,1,1
1707504292261,1,1707426090000,1707504292261,OT_BLUE_HEAD_HIT,19,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,19,1,1
1707504301833,1,1707426090000,1707504301833,NETWORK_ERROR,,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,,1,1
1707504303738,1,1707426090000,1707504303738,OT_BLUE_HEAD_HIT,14,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,14,1,1
1707504305665,1,1707426090000,1707504305665,OT_BLUE_HEAD_HIT,10,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,10,1,1
1707504326267,1,1707426090000,1707504326267,OT_BLUE_HEAD_HIT,13,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,13,1,1
1707504337266,1,1707426090000,1707504337266,START_ROUND,,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,,1,1
1707504358572,1,1707426068694,1707504358572,BLUE_BODY_HIT,8,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,8,1,1
1707504365940,1,1707426061337,1707504365940,TIMEOUT,,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,,1,1
1707504371295,1,1707426061335,1707504371296,RED_ADD_GAME_JEON,MAIN_CONTROL,0,0,1-0,1,0,0,0,0,1,0,0,0,0,0,0,false,MAIN_CONTROL,1,1
1707504373844,1,1707426061335,1707504373844,RESUME,,0,0,1-0,1,0,0,0,0,1,0,0,0,0,0,0,false,,1,1
1707504379572,1,1707426055606,1707504379572,RED_BODY_HIT,8,0,0,1-0,1,0,0,0,0,1,0,0,0,0,0,0,false,8,1,1
1707504380831,1,1707426054347,1707504380831,RED_BODY_HIT,17,0,0,1-0,1,0,0,0,0,1,0,0,0,0,0,0,false,17,1,1
1707504380831,1,1707426054347,1707504380834,RED_BODY_POINT,SENSOR,0,2,1-2,1,2,0,2,0,1,0,0,0,0,0,0,false,SENSOR,1,1
1707504381458,1,1707426053720,1707504381458,BLUE_BODY_HIT,12,0,0,1-2,1,2,0,2,0,1,0,0,0,0,0,0,false,12,1,1
1707504381458,1,1707426053720,1707504381461,BLUE_BODY_POINT,SENSOR,2,0,3-2,3,2,2,2,0,1,0,0,0,0,0,0,false,SENSOR,1,1
1707504382383,1,1707426052795,1707504382383,BLUE_HEAD_HIT,15,0,0,3-2,3,2,2,2,0,1,0,0,0,0,0,0,false,15,1,1
1707504382383,1,1707426052793,1707504382386,BLUE_HEAD_POINT,SENSOR,3,0,6-2,6,2,5,2,0,1,0,0,0,0,0,0,false,SENSOR,1,1
1707504384116,1,1707426051062,1707504384116,RED_BODY_HIT,11,0,0,6-2,6,2,5,2,0,1,0,0,0,0,0,0,false,11,1,1
1707504384416,1,1707426050761,1707504384416,BLUE_BODY_HIT,12,0,0,6-2,6,2,5,2,0,1,0,0,0,0,0,0,false,12,1,1
1707504384416,1,1707426050759,1707504384419,BLUE_BODY_POINT,SENSOR,2,0,8-2,8,2,7,2,0,1,0,0,0,0,0,0,false,SENSOR,1,1
1707504392605,1,1707426042574,1707504392606,BLUE_BODY_HIT,8,0,0,8-2,8,2,7,2,0,1,0,0,0,0,0,0,false,8,1,1
1707504394149,1,1707426041029,1707504394149,BLUE_BODY_HIT,25,0,0,8-2,8,2,7,2,0,1,0,0,0,0,0,0,false,25,1,1
1707504394149,1,1707426041029,1707504394152,BLUE_BODY_POINT,SENSOR,2,0,10-2,10,2,9,2,0,1,0,0,0,0,0,0,false,SENSOR,1,1
1707504398319,1,1707426036859,1707504398319,RED_HEAD_HIT,12,0,0,10-2,10,2,9,2,0,1,0,0,0,0,0,0,false,12,1,1
1707504398319,1,1707426036857,1707504398322,RED_HEAD_POINT,SENSOR,0,3,10-5,10,5,9,5,0,1,0,0,0,0,0,0,false,SENSOR,1,1
1707504403812,1,1707426031365,1707504403812,BLUE_JUDGE_BODY_TECH,1,0,0,10-5,10,5,9,5,0,1,0,0,0,0,0,0,false,1,1,1
1707504408951,1,1707426026228,1707504408951,BLUE_BODY_HIT,19,0,0,10-5,10,5,9,5,0,1,0,0,0,0,0,0,false,19,1,1
1707504408951,1,1707426026226,1707504408954,BLUE_BODY_POINT,SENSOR,2,0,12-5,12,5,11,5,0,1,0,0,0,0,0,0,false,SENSOR,1,1
1707504410568,1,1707426024620,1707504410568,TIMEOUT,,0,0,12-5,12,5,11,5,0,1,0,0,0,0,0,0,false,,1,1
1707504412075,1,1707426024619,1707504412075,RESUME,,0,0,12-5,12,5,11,5,0,1,0,0,0,0,0,0,false,,1,1
