eventTime,roundNumber,roundTime,systemTime,matchLogItemType,entryValue,blueAddPoints,redAddPoints,score,blueGeneralPoints,redGeneralPoints,bluePoints,redPoints,bluePenalties,redPenalties,blueTotalPenalties,redTotalPenalties,blueGoldenPointHits,redGoldenPointHits,blueGoldenPointPenalties,redGoldenPointPenalties,goldenPointRound,entryValue,blueVideoQuota,redVideoQuota
1716657396654,1,1716627690000,1716657396654,OT_BLUE_BODY_HIT,7,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,7,1,1
1716657399008,1,1716627690000,1716657399009,OT_BLUE_HEAD_HIT,16,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,16,1,1
1716657403796,1,1716627690000,1716657403796,OT_RED_BODY_HIT,9,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,9,1,1
1716657405813,1,1716627690000,1716657405813,OT_RED_HEAD_HIT,19,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,19,1,1
1716657429732,1,1716627690000,1716657429732,START_ROUND,,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,,1,1
1716657435403,1,1716627684329,1716657435403,BLUE_BODY_HIT,11,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,11,1,1
1716657450049,1,1716627669693,1716657450049,TIMEOUT,,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,,1,1
1716657452070,1,1716627669693,1716657452070,RESUME,,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,,1,1
1716657492924,1,1716627628839,1716657492924,BLUE_BODY_HIT,40,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,40,1,1
1716657492924,1,1716627628839,1716657492925,BLUE_BODY_POINT,SENSOR,2,0,2-0,2,0,2,0,0,0,0,0,0,0,0,0,false,SENSOR,1,1
1716657494853,1,1716627626910,1716657494853,RED_BODY_HIT,13,0,0,2-0,2,0,2,0,0,0,0,0,0,0,0,0,false,13,1,1
1716657503795,1,1716627617969,1716657503795,BLUE_HEAD_HIT,10,0,0,5-0,5,0,2,0,0,0,0,0,0,0,0,0,false,10,1,1
1716657503795,1,1716627617967,1716657503798,BLUE_HEAD_POINT,SENSOR,3,0,5-0,5,0,5,0,0,0,0,0,0,0,0,0,false,SENSOR,1,1
1716657505112,1,1716627616651,1716657505112,RED_BODY_HIT,9,0,0,5-0,5,0,5,0,0,0,0,0,0,0,0,0,false,9,1,1
1716657506093,1,1716627615670,1716657506093,BLUE_BODY_HIT,13,0,0,5-0,5,0,5,0,0,0,0,0,0,0,0,0,false,13,1,1
1716657506209,1,1716627615554,1716657506209,RED_BODY_HIT,19,0,0,5-0,5,0,5,0,0,0,0,0,0,0,0,0,false,19,1,1
1716657506209,1,1716627615553,1716657506211,RED_BODY_POINT,SENSOR,0,2,5-2,5,2,5,2,0,0,0,0,0,0,0,0,false,SENSOR,1,1
1716657506349,1,1716627615424,1716657506349,TIMEOUT,,0,0,5-2,5,2,5,2,0,0,0,0,0,0,0,0,false,,1,1
1716657510947,1,1716627615424,1716657510948,BLUE_ADD_GAME_JEON,MAIN_CONTROL,0,0,5-3,5,3,5,2,1,0,0,0,0,0,0,0,false,MAIN_CONTROL,1,1
1716657512031,1,1716627615424,1716657512031,RESUME,,0,0,5-3,5,3,5,2,1,0,0,0,0,0,0,0,false,,1,1
1716657513815,1,1716627613640,1716657513815,BLUE_BODY_HIT,12,0,0,5-3,5,3,5,2,1,0,0,0,0,0,0,0,false,12,1,1
1716657514222,1,1716627613233,1716657514222,BLUE_BODY_HIT,7,0,0,5-3,5,3,5,2,1,0,0,0,0,0,0,0,false,7,1,1
1716657514668,1,1716627612797,1716657514668,TIMEOUT,,0,0,5-3,5,3,5,2,1,0,0,0,0,0,0,0,false,,1,1
1716657519375,1,1716627612797,1716657519376,BLUE_ADD_GAME_JEON,MAIN_CONTROL,0,0,5-4,5,4,5,2,2,0,0,0,0,0,0,0,false,MAIN_CONTROL,1,1
1716657520763,1,1716627612797,1716657520763,RESUME,,0,0,5-4,5,4,5,2,2,0,0,0,0,0,0,0,false,,1,1
1716657528614,1,1716627604957,1716657528614,TIMEOUT,,0,0,5-4,5,4,5,2,2,0,0,0,0,0,0,0,false,,1,1
1716657532177,1,1716627604957,1716657532177,RESUME,,0,0,5-4,5,4,5,2,2,0,0,0,0,0,0,0,false,,1,1
1716657534852,1,1716627602293,1716657534852,TIMEOUT,,0,0,5-4,5,4,5,2,2,0,0,0,0,0,0,0,false,,1,1
1716657535270,1,1716627602293,1716657535270,OT_RED_BODY_HIT,20,0,0,5-4,5,4,5,2,2,0,0,0,0,0,0,0,false,20,1,1
1716657542175,1,1716627602293,1716657542177,RED_ADD_GAME_JEON,MAIN_CONTROL,0,0,6-4,6,4,5,2,2,1,0,0,0,0,0,0,false,MAIN_CONTROL,1,1
1716657543103,1,1716627602293,1716657543103,RESUME,,0,0,6-4,6,4,5,2,2,1,0,0,0,0,0,0,false,,1,1
1716657547203,1,1716627600000,1716657547204,OT_BLUE_BODY_HIT,17,0,0,6-4,6,4,5,2,2,1,2,1,0,0,0,0,false,17,1,1
1716657550040,1,1716627600000,1716657550040,END_ROUND,,0,0,6-4,6,4,5,2,2,1,2,1,0,0,0,0,false,,1,1
1716657623882,2,1716627690000,1716657623882,START_ROUND,,0,0,0-0,0,0,0,0,0,0,2,1,0,0,0,0,false,,1,1
1716657625232,2,1716627688649,1716657625233,BLUE_BODY_HIT,18,0,0,0-0,0,0,0,0,0,0,2,1,0,0,0,0,false,18,1,1
1716657625232,2,1716627688646,1716657625236,BLUE_BODY_POINT,SENSOR,2,0,2-0,2,0,2,0,0,0,2,1,0,0,0,0,false,SENSOR,1,1
1716657630298,2,1716627683584,1716657630298,RED_BODY_HIT,11,0,0,2-0,2,0,2,0,0,0,2,1,0,0,0,0,false,11,1,1
1716657633567,2,1716627680325,1716657633567,TIMEOUT,,0,0,2-0,2,0,2,0,0,0,2,1,0,0,0,0,false,,1,1
1716657635789,2,1716627680323,1716657635789,RESUME,,0,0,2-0,2,0,2,0,0,0,2,1,0,0,0,0,false,,1,1
1716657635989,2,1716627680123,1716657635989,BLUE_BODY_HIT,13,0,0,2-0,2,0,2,0,0,0,2,1,0,0,0,0,false,13,1,1
1716657636022,2,1716627680090,1716657636022,RED_BODY_HIT,23,0,0,2-0,2,0,2,0,0,0,2,1,0,0,0,0,false,23,1,1
1716657636022,2,1716627680088,1716657636026,RED_BODY_POINT,SENSOR,0,2,2-2,2,2,2,2,0,0,2,1,0,0,0,0,false,SENSOR,1,1
1716657638473,2,1716627677638,1716657638474,BLUE_BODY_HIT,20,0,0,2-2,2,2,2,2,0,0,2,1,0,0,0,0,false,20,1,1
1716657638473,2,1716627677636,1716657638476,BLUE_BODY_POINT,SENSOR,2,0,4-2,4,2,4,2,0,0,2,1,0,0,0,0,false,SENSOR,1,1
1716657651859,2,1716627664252,1716657651859,BLUE_BODY_HIT,22,0,0,4-2,4,2,4,2,0,0,2,1,0,0,0,0,false,22,1,1
1716657651859,2,1716627664250,1716657651862,BLUE_BODY_POINT,SENSOR,2,0,6-2,6,2,6,2,0,0,2,1,0,0,0,0,false,SENSOR,1,1
1716657663731,2,1716627652390,1716657663731,TIMEOUT,,0,0,6-2,6,2,6,2,0,0,2,1,0,0,0,0,false,,1,1
1716657665878,2,1716627652389,1716657665878,RESUME,,0,0,6-2,6,2,6,2,0,0,2,1,0,0,0,0,false,,1,1
1716657667983,2,1716627650284,1716657667983,RED_BODY_HIT,8,0,0,6-2,6,2,6,2,0,0,2,1,0,0,0,0,false,8,1,1
1716657670722,2,1716627647546,1716657670722,BLUE_BODY_HIT,7,0,0,6-2,6,2,6,2,0,0,2,1,0,0,0,0,false,7,1,1
1716657672777,2,1716627645501,1716657672777,TIMEOUT,,0,0,6-2,6,2,6,2,0,0,2,1,0,0,0,0,false,,1,1
1716657674967,2,1716627645499,1716657674967,RESUME,,0,0,6-2,6,2,6,2,0,0,2,1,0,0,0,0,false,,1,1
1716657684688,2,1716627635789,1716657684688,TIMEOUT,,0,0,6-2,6,2,6,2,0,0,2,1,0,0,0,0,false,,1,1
1716657686084,2,1716627635787,1716657686084,RESUME,,0,0,6-2,6,2,6,2,0,0,2,1,0,0,0,0,false,,1,1
1716657688429,2,1716627633443,1716657688429,BLUE_BODY_HIT,10,0,0,6-2,6,2,6,2,0,0,2,1,0,0,0,0,false,10,1,1
1716657697624,2,1716627624259,1716657697624,TIMEOUT,,0,0,6-2,6,2,6,2,0,0,2,1,0,0,0,0,false,,1,1
1716657705529,2,1716627624257,1716657705529,SCOREBOARD,,0,0,6-2,6,2,6,2,0,0,2,1,0,0,0,0,false,,1,1
1716657705530,2,1716627624257,1716657705530,BLUE_VIDEO_REQUEST,,0,0,6-2,6,2,6,2,0,0,2,1,0,0,0,0,false,,1,1
1716657759205,2,1716627624257,1716657759205,BLUE_VIDEO_QUOTA_CHANGED,0,0,0,6-2,6,2,6,2,0,0,2,1,0,0,0,0,false,0,0,1
1716657765121,2,1716627624257,1716657765121,RESUME,,0,0,6-2,6,2,6,2,0,0,2,1,0,0,0,0,false,,0,1
1716657768133,2,1716627621246,1716657768133,BLUE_BODY_HIT,17,0,0,8-2,8,2,6,2,0,0,2,1,0,0,0,0,false,17,0,1
1716657768133,2,1716627621244,1716657768136,BLUE_BODY_POINT,SENSOR,2,0,8-2,8,2,8,2,0,0,2,1,0,0,0,0,false,SENSOR,0,1
