eventTime,roundNumber,roundTime,systemTime,matchLogItemType,entryValue,blueAddPoints,redAddPoints,score,blueGeneralPoints,redGeneralPoints,bluePoints,redPoints,bluePenalties,redPenalties,blueTotalPenalties,redTotalPenalties,blueGoldenPointHits,redGoldenPointHits,blueGoldenPointPenalties,redGoldenPointPenalties,goldenPointRound,entryValue,blueVideoQuota,redVideoQuota
1707653538047,1,1707627690000,1707653538047,OT_RED_HEAD_HIT,19,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,19,1,1
1707653638161,1,1707627690000,1707653638162,OT_BLUE_BODY_HIT,14,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,14,1,1
1707653643134,1,1707627690000,1707653643134,OT_BLUE_HEAD_HIT,11,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,11,1,1
1707653645810,1,1707627690000,1707653645810,OT_RED_BODY_HIT,29,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,29,1,1
1707653648276,1,1707627690000,1707653648276,OT_RED_HEAD_HIT,16,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,16,1,1
1707653668498,1,1707627690000,1707653668498,START_ROUND,,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,,1,1
1707653681721,1,1707627676776,1707653681724,RED_HEAD_POINT,SENSOR,0,3,0-3,0,3,0,3,0,0,0,0,0,0,0,0,false,SENSOR,1,1
1707653681721,1,1707627676776,1707653681721,RED_HEAD_HIT,13,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,13,1,1
1707653683213,1,1707627675285,1707653683213,RED_BODY_HIT,11,0,0,0-3,0,3,0,3,0,0,0,0,0,0,0,0,false,11,1,1
1707653685483,1,1707627673015,1707653685483,BLUE_BODY_HIT,13,0,0,2-3,2,3,0,3,0,0,0,0,0,0,0,0,false,13,1,1
1707653685483,1,1707627673013,1707653685486,BLUE_BODY_POINT,SENSOR,2,0,2-3,2,3,2,3,0,0,0,0,0,0,0,0,false,SENSOR,1,1
1707653685632,1,1707627672867,1707653685632,RED_HEAD_HIT,14,0,0,2-3,2,3,2,3,0,0,0,0,0,0,0,0,false,14,1,1
1707653685632,1,1707627672867,1707653685633,RED_HEAD_POINT,SENSOR,0,3,2-6,2,6,2,6,0,0,0,0,0,0,0,0,false,SENSOR,1,1
1707653700882,1,1707627657617,1707653700882,RED_BODY_HIT,9,0,0,2-6,2,6,2,6,0,0,0,0,0,0,0,0,false,9,1,1
1707653718659,1,1707627639840,1707653718659,RED_HEAD_HIT,17,0,0,2-6,2,6,2,6,0,0,0,0,0,0,0,0,false,17,1,1
1707653718659,1,1707627639838,1707653718661,RED_HEAD_POINT,SENSOR,0,3,2-9,2,9,2,9,0,0,0,0,0,0,0,0,false,SENSOR,1,1
1707653732395,1,1707627626103,1707653732395,RED_BODY_HIT,21,0,0,2-9,2,9,2,9,0,0,0,0,0,0,0,0,false,21,1,1
1707653732395,1,1707627626103,1707653732398,RED_BODY_POINT,SENSOR,0,2,2-11,2,11,2,11,0,0,0,0,0,0,0,0,false,SENSOR,1,1
1707653742236,1,1707627616262,1707653742236,BLUE_BODY_HIT,19,0,0,2-11,2,11,2,11,0,0,0,0,0,0,0,0,false,19,1,1
1707653742236,1,1707627616260,1707653742239,BLUE_BODY_POINT,SENSOR,2,0,4-11,4,11,4,11,0,0,0,0,0,0,0,0,false,SENSOR,1,1
1707653748540,1,1707627609968,1707653748540,TIMEOUT,,0,0,4-11,4,11,4,11,0,0,0,0,0,0,0,0,false,,1,1
1707653751622,1,1707627609968,1707653751623,BLUE_ADD_GAME_JEON,MAIN_CONTROL,0,0,4-12,4,12,4,11,1,0,0,0,0,0,0,0,false,MAIN_CONTROL,1,1
1707653753514,1,1707627609968,1707653753514,RESUME,,0,0,4-12,4,12,4,11,1,0,0,0,0,0,0,0,false,,1,1
1707653758067,1,1707627605426,1707653758067,TIMEOUT,,0,0,4-12,4,12,4,11,1,0,0,0,0,0,0,0,false,,1,1
1707653761356,1,1707627605426,1707653761357,BLUE_ADD_GAME_JEON,MAIN_CONTROL,0,0,4-13,4,13,4,11,2,0,0,0,0,0,0,0,false,MAIN_CONTROL,1,1
1707653763243,1,1707627605426,1707653763243,RESUME,,0,0,4-13,4,13,4,11,2,0,0,0,0,0,0,0,false,,1,1
1707653765241,1,1707627603437,1707653765241,TIMEOUT,,0,0,4-13,4,13,4,11,2,0,0,0,0,0,0,0,false,,1,1
1707653768249,1,1707627603437,1707653768250,BLUE_ADD_GAME_JEON,MAIN_CONTROL,0,0,4-14,4,14,4,11,3,0,0,0,0,0,0,0,false,MAIN_CONTROL,1,1
1707653770300,1,1707627603437,1707653770300,RESUME,,0,0,4-14,4,14,4,11,3,0,0,0,0,0,0,0,false,,1,1
1707653776859,1,1707627600000,1707653776859,END_ROUND,,0,0,4-14,4,14,4,11,3,0,3,0,0,0,0,0,false,,1,1
1707653827269,1,1707627600000,1707653827269,OT_RED_HEAD_HIT,20,0,0,4-14,4,14,4,11,3,0,3,0,0,0,0,0,false,20,1,1
1707653847641,2,1707627690000,1707653847641,START_ROUND,,0,0,0-0,0,0,0,0,0,0,3,0,0,0,0,0,false,,1,1
1707653856269,2,1707627681371,1707653856269,BLUE_BODY_HIT,16,0,0,0-0,0,0,0,0,0,0,3,0,0,0,0,0,false,16,1,1
1707653856269,2,1707627681370,1707653856272,BLUE_BODY_POINT,SENSOR,2,0,2-0,2,0,2,0,0,0,3,0,0,0,0,0,false,SENSOR,1,1
1707653864451,2,1707627673189,1707653864451,RED_BODY_HIT,7,0,0,2-0,2,0,2,0,0,0,3,0,0,0,0,0,false,7,1,1
1707653872420,2,1707627665221,1707653872420,RED_BODY_HIT,13,0,0,2-0,2,0,2,0,0,0,3,0,0,0,0,0,false,13,1,1
1707653872420,2,1707627665219,1707653872423,RED_BODY_POINT,SENSOR,0,2,2-2,2,2,2,2,0,0,3,0,0,0,0,0,false,SENSOR,1,1
