                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     21,                0.70512,                 1.4672,                0.14511,                 1.0623,                0.94387,                 0.6814,                0.81884,                0.81683,                0.62361,                0.65517,                 0.8073,                0.77749,                0.46893,                0.77163,                 1.7552,                0.07013,                 1.1449,                0.96986,               0.000755,               0.000755,               0.000755
                     22,                0.75578,                 1.5459,                0.14327,                  1.061,                0.95067,                0.71564,                0.85563,                0.80934,                0.60286,                0.69154,                 0.8246,                0.75565,                0.46412,                0.81071,                 1.6528,                0.06629,                 1.1513,                 0.9955,             0.00073025,             0.00073025,             0.00073025
                     23,                0.73301,                 1.5884,                0.14362,                 1.0518,                0.95692,                0.67226,                0.86104,                0.78548,                0.59739,                0.66133,                0.84706,                0.77079,                0.46964,                0.78237,                 1.6439,                 0.0609,                 1.1548,                0.97371,              0.0007055,              0.0007055,              0.0007055
                     24,                0.71799,                  1.508,                0.13894,                 1.0196,                0.97216,                0.68106,                0.84402,                0.77568,                0.59286,                0.65833,                  0.813,                0.74133,                0.47582,                 0.7719,                 1.6317,                0.05939,                 1.1741,                0.96161,             0.00068075,             0.00068075,             0.00068075
                     25,                0.69365,                 1.5134,                0.13462,                0.96227,                0.93693,                0.68135,                 0.8573,                0.78674,                0.61319,                0.66882,                0.84308,                0.76998,                 0.5038,                0.74872,                 1.6372,                0.06279,                 1.1856,                0.96523,               0.000656,               0.000656,               0.000656
                     26,                0.74854,                 1.5059,                0.13669,                0.96421,                0.95488,                0.67309,                0.86176,                0.80618,                0.62213,                0.65683,                 0.8822,                0.79578,                0.49549,                0.75329,                 1.6389,                0.06239,                 1.1247,                0.95882,             0.00063125,             0.00063125,             0.00063125
                     27,                0.69604,                 1.4856,                0.13259,                0.92627,                 0.9318,                0.80555,                  0.747,                0.83496,                 0.6503,                0.78645,                0.73165,                0.81175,                0.52682,                0.77836,                  1.527,                0.06089,                 1.0838,                0.96515,              0.0006065,              0.0006065,              0.0006065
                     28,                0.64323,                 1.2967,                0.14355,                0.90994,                0.92071,                0.78217,                0.76062,                0.82397,                0.65899,                0.78217,                0.76062,                0.82397,                0.50811,                 0.7339,                 1.5923,                0.06077,                 1.0959,                0.94682,             0.00058175,             0.00058175,             0.00058175
                     29,                 0.6737,                   1.47,                0.13544,                0.95628,                0.93675,                 0.6562,                 0.8394,                0.79599,                0.63277,                 0.6562,                 0.8394,                0.79599,                0.51393,                0.72261,                 1.5302,                0.05861,                 1.1825,                0.92323,               0.000557,               0.000557,               0.000557
                     30,                0.66347,                 1.2779,                0.13121,                0.87702,                0.93387,                0.72648,                0.76859,                0.75478,                  0.599,                0.72648,                0.76859,                0.75478,                0.48459,                0.73083,                 1.5808,                0.05894,                 1.2843,                0.92429,             0.00053225,             0.00053225,             0.00053225
