eventTime,roundNumber,roundTime,systemTime,matchLogItemType,entryValue,blueAddPoints,redAddPoints,score,blueGeneralPoints,redGeneralPoints,bluePoints,redPoints,bluePenalties,redPenalties,blueTotalPenalties,redTotalPenalties,blueGoldenPointHits,redGoldenPointHits,blueGoldenPointPenalties,redGoldenPointPenalties,goldenPointRound,entryValue,blueVideoQuota,redVideoQuota
1716541968231,1,1716523290000,1716541968231,START_MATCH,,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,,1,1
1716541968232,1,1716523290000,1716541968232,START_ROUND,,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,,1,1
1716541972051,1,1716523286180,1716541972052,BLUE_BODY_HIT,12,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,12,1,1
1716541974327,1,1716523283905,1716541974327,BLUE_BODY_HIT,16,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,16,1,1
1716541974327,1,1716523283905,1716541974328,BLUE_BODY_POINT,SENSOR,2,0,2-0,2,0,2,0,0,0,0,0,0,0,0,0,false,SENSOR,1,1
1716541978221,1,1716523280021,1716541978221,TIMEOUT,,0,0,2-0,2,0,2,0,0,0,0,0,0,0,0,0,false,,1,1
1716541981004,1,1716523280019,1716541981004,RESUME,,0,0,2-0,2,0,2,0,0,0,0,0,0,0,0,0,false,,1,1
1716542004367,1,1716523256666,1716542004367,TIMEOUT,,0,0,2-0,2,0,2,0,0,0,0,0,0,0,0,0,false,,1,1
1716542006474,1,1716523256664,1716542006474,RESUME,,0,0,2-0,2,0,2,0,0,0,0,0,0,0,0,0,false,,1,1
1716542014397,1,1716523248750,1716542014397,TIMEOUT,,0,0,2-0,2,0,2,0,0,0,0,0,0,0,0,0,false,,1,1
1716542016123,1,1716523248750,1716542016123,RESUME,,0,0,2-0,2,0,2,0,0,0,0,0,0,0,0,0,false,,1,1
1716542039974,1,1716523224909,1716542039974,TIMEOUT,,0,0,2-0,2,0,2,0,0,0,0,0,0,0,0,0,false,,1,1
1716542042289,1,1716523224909,1716542042289,RESUME,,0,0,2-0,2,0,2,0,0,0,0,0,0,0,0,0,false,,1,1
1716542046914,1,1716523220284,1716542046914,RED_BODY_HIT,7,0,0,2-0,2,0,2,0,0,0,0,0,0,0,0,0,false,7,1,1
1716542053435,1,1716523213774,1716542053435,TIMEOUT,,0,0,2-0,2,0,2,0,0,0,0,0,0,0,0,0,false,,1,1
1716542216275,1,1716523213772,1716542216275,RESUME,,0,0,2-0,2,0,2,0,0,0,0,0,0,0,0,0,false,,1,1
1716542228024,1,1716523202034,1716542228024,TIMEOUT,,0,0,2-0,2,0,2,0,0,0,0,0,0,0,0,0,false,,1,1
1716542230810,1,1716523202032,1716542230810,RESUME,,0,0,2-0,2,0,2,0,0,0,0,0,0,0,0,0,false,,1,1
1716542234377,1,1716523200000,1716542234377,END_ROUND,,0,0,2-0,2,0,2,0,0,0,0,0,0,0,0,0,false,,1,1
1716542308993,2,1716523290000,1716542308993,START_ROUND,,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,,1,1
1716542331177,2,1716523267828,1716542331177,TIMEOUT,,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,,1,1
1716542334289,2,1716523267826,1716542334290,RED_ADD_GAME_JEON,MAIN_CONTROL,0,0,1-0,1,0,0,0,0,1,0,0,0,0,0,0,false,MAIN_CONTROL,1,1
1716542338358,2,1716523267826,1716542338358,RESUME,,0,0,1-0,1,0,0,0,0,1,0,0,0,0,0,0,false,,1,1
1716542359595,2,1716523246599,1716542359595,TIMEOUT,,0,0,1-0,1,0,0,0,0,1,0,0,0,0,0,0,false,,1,1
1716542361531,2,1716523246599,1716542361531,RESUME,,0,0,1-0,1,0,0,0,0,1,0,0,0,0,0,0,false,,1,1
1716542388022,2,1716523220119,1716542388022,TIMEOUT,,0,0,1-0,1,0,0,0,0,1,0,0,0,0,0,0,false,,1,1
1716542389752,2,1716523220119,1716542389752,RESUME,,0,0,1-0,1,0,0,0,0,1,0,0,0,0,0,0,false,,1,1
1716542391972,2,1716523217909,1716542391972,TIMEOUT,,0,0,1-0,1,0,0,0,0,1,0,0,0,0,0,0,false,,1,1
1716542394086,2,1716523217909,1716542394086,RESUME,,0,0,1-0,1,0,0,0,0,1,0,0,0,0,0,0,false,,1,1
1716542400443,2,1716523211553,1716542400443,BLUE_BODY_HIT,25,0,0,1-0,1,0,0,0,0,1,0,0,0,0,0,0,false,25,1,1
1716542400443,2,1716523211551,1716542400446,BLUE_BODY_POINT,SENSOR,2,0,3-0,3,0,2,0,0,1,0,0,0,0,0,0,false,SENSOR,1,1
1716542401867,2,1716523210138,1716542401867,TIMEOUT,,0,0,3-0,3,0,2,0,0,1,0,0,0,0,0,0,false,,1,1
1716542403556,2,1716523210136,1716542403556,RESUME,,0,0,3-0,3,0,2,0,0,1,0,0,0,0,0,0,false,,1,1
1716542408484,2,1716523205209,1716542408484,RED_JUDGE_PUNCH,2,0,0,3-0,3,0,2,0,0,1,0,0,0,0,0,0,false,2,1,1
1716542409293,2,1716523204399,1716542409293,BLUE_BODY_HIT,10,0,0,3-0,3,0,2,0,0,1,0,0,0,0,0,0,false,10,1,1
1716542432381,2,1716523200000,1716542432381,END_ROUND,,0,0,3-0,3,0,2,0,0,1,0,1,0,0,0,0,false,,1,1
1716542432425,2,1716523200000,1716542432425,MATCH_FINAL_NEEDS_CONFIRM_DECISION,,0,0,3-0,3,0,2,0,0,1,0,1,0,0,0,0,false,,1,1
1716542434480,2,1716523200000,1716542434480,MATCH_FINISHED,BLUE - PTF,0,0,3-0,3,0,2,0,0,1,0,1,0,0,0,0,false,BLUE - PTF,1,1
