eventTime,roundNumber,roundTime,systemTime,matchLogItemType,entryValue,blueAddPoints,redAddPoints,score,blueGeneralPoints,redGeneralPoints,bluePoints,redPoints,bluePenalties,redPenalties,blueTotalPenalties,redTotalPenalties,blueGoldenPointHits,redGoldenPointHits,blueGoldenPointPenalties,redGoldenPointPenalties,goldenPointRound,entryValue,blueVideoQuota,redVideoQuota
1716727085928,1,1716699720000,1716727085928,OT_BLUE_BODY_HIT,10,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,10,1,1
1716727087926,1,1716699720000,1716727087926,OT_BLUE_HEAD_HIT,28,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,28,1,1
1716727088095,1,1716699720000,1716727088095,OT_RED_JUDGE_PUNCH,1,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,1,1,1
1716727088129,1,1716699720000,1716727088129,OT_BLUE_JUDGE_PUNCH,1,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,1,1,1
1716727088626,1,1716699720000,1716727088626,OT_RED_JUDGE_PUNCH,1,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,1,1,1
1716727088947,1,1716699720000,1716727088947,OT_BLUE_JUDGE_BODY_TECH,1,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,1,1,1
1716727089284,1,1716699720000,1716727089284,OT_RED_JUDGE_BODY_TECH,1,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,1,1,1
1716727090130,1,1716699720000,1716727090130,OT_RED_BODY_HIT,2,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,2,1,1
1716727090407,1,1716699720000,1716727090407,MEETING,1,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,1,1,1
1716727090667,1,1716699720000,1716727090667,MEETING,1,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,1,1,1
1716727091615,1,1716699720000,1716727091615,OT_RED_HEAD_HIT,18,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,18,1,1
1716727108292,1,1716699720000,1716727108292,START_ROUND,,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,,1,1
1716727109727,1,1716699718564,1716727109727,BLUE_BODY_HIT,3,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,3,1,1
1716727112580,1,1716699715711,1716727112580,RED_BODY_HIT,4,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,4,1,1
1716727116735,1,1716699711557,1716727116735,BLUE_JUDGE_PUNCH,1,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,1,1,1
1716727117070,1,1716699711222,1716727117070,BLUE_JUDGE_PUNCH,2,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,2,1,1
1716727117070,1,1716699711222,1716727117073,BLUE_PUNCH_POINT,JUDGE,1,0,1-0,1,0,1,0,0,0,0,0,0,0,0,0,false,JUDGE,1,1
1716727122528,1,1716699705773,1716727122528,TIMEOUT,,0,0,1-0,1,0,1,0,0,0,0,0,0,0,0,0,false,,1,1
1716727343897,1,1716699705773,1716727343897,MEETING,1,0,0,1-0,1,0,1,0,0,0,0,0,0,0,0,0,false,1,1,1
1716727558166,1,1716699705773,1716727558166,RESUME,,0,0,1-0,1,0,1,0,0,0,0,0,0,0,0,0,false,,1,1
1716727562150,1,1716699701801,1716727562150,TIMEOUT,,0,0,1-0,1,0,1,0,0,0,0,0,0,0,0,0,false,,1,1
1716727565216,1,1716699701800,1716727565216,RESUME,,0,0,1-0,1,0,1,0,0,0,0,0,0,0,0,0,false,,1,1
1716727585789,1,1716699681228,1716727585789,RED_BODY_HIT,5,0,0,1-0,1,0,1,0,0,0,0,0,0,0,0,0,false,5,1,1
1716727585957,1,1716699681061,1716727585957,BLUE_BODY_HIT,17,0,0,1-0,1,0,1,0,0,0,0,0,0,0,0,0,false,17,1,1
1716727595416,1,1716699671600,1716727595416,RED_BODY_HIT,15,0,0,1-0,1,0,1,0,0,0,0,0,0,0,0,0,false,15,1,1
1716727602988,1,1716699664030,1716727602988,RED_BODY_HIT,8,0,0,1-0,1,0,1,0,0,0,0,0,0,0,0,0,false,8,1,1
1716727625245,1,1716699641771,1716727625245,RED_BODY_HIT,10,0,0,1-0,1,0,1,0,0,0,0,0,0,0,0,0,false,10,1,1
1716727626258,1,1716699640759,1716727626258,BLUE_JUDGE_PUNCH,1,0,0,1-0,1,0,1,0,0,0,0,0,0,0,0,0,false,1,1,1
1716727626790,1,1716699640226,1716727626790,BLUE_JUDGE_PUNCH,2,0,0,1-0,1,0,1,0,0,0,0,0,0,0,0,0,false,2,1,1
1716727626790,1,1716699640224,1716727626794,BLUE_PUNCH_POINT,JUDGE,1,0,2-0,2,0,2,0,0,0,0,0,0,0,0,0,false,JUDGE,1,1
1716727626887,1,1716699640140,1716727626887,TIMEOUT,,0,0,2-0,2,0,2,0,0,0,0,0,0,0,0,0,false,,1,1
1716727633253,1,1716699640138,1716727633253,RESUME,,0,0,2-0,2,0,2,0,0,0,0,0,0,0,0,0,false,,1,1
1716727638791,1,1716699634601,1716727638791,RED_BODY_HIT,16,0,0,2-0,2,0,2,0,0,0,0,0,0,0,0,0,false,16,1,1
1716727639544,1,1716699633848,1716727639544,RED_BODY_HIT,12,0,0,2-0,2,0,2,0,0,0,0,0,0,0,0,0,false,12,1,1
1716727645762,1,1716699627630,1716727645762,RED_BODY_HIT,19,0,0,2-0,2,0,2,0,0,0,0,0,0,0,0,0,false,19,1,1
1716727645762,1,1716699627628,1716727645765,RED_BODY_POINT,SENSOR,0,2,2-2,2,2,2,2,0,0,0,0,0,0,0,0,false,SENSOR,1,1
1716727656305,1,1716699617086,1716727656305,RED_BODY_HIT,3,0,0,2-2,2,2,2,2,0,0,0,0,0,0,0,0,false,3,1,1
1716727658419,1,1716699614972,1716727658419,BLUE_BODY_HIT,8,0,0,2-2,2,2,2,2,0,0,0,0,0,0,0,0,false,8,1,1
1716727658583,1,1716699614808,1716727658583,RED_HEAD_HIT,24,0,0,2-2,2,2,2,2,0,0,0,0,0,0,0,0,false,24,1,1
1716727658583,1,1716699614808,1716727658585,RED_HEAD_POINT,SENSOR,0,3,2-5,2,5,2,5,0,0,0,0,0,0,0,0,false,SENSOR,1,1
1716727668189,1,1716699605203,1716727668189,BLUE_JUDGE_BODY_TECH,2,0,0,2-5,2,5,2,5,0,0,0,0,0,0,0,0,false,2,1,1
1716727669085,1,1716699604316,1716727669085,TIMEOUT,,0,0,2-5,2,5,2,5,0,0,0,0,0,0,0,0,false,,1,1
1716727674094,1,1716699604314,1716727674095,BLUE_ADD_GAME_JEON,MAIN_CONTROL,0,0,2-6,2,6,2,5,1,0,0,0,0,0,0,0,false,MAIN_CONTROL,1,1
1716727675698,1,1716699604314,1716727675698,RESUME,,0,0,2-6,2,6,2,5,1,0,0,0,0,0,0,0,false,,1,1
1716727677374,1,1716699602638,1716727677374,BLUE_JUDGE_BODY_TECH,2,0,0,2-6,2,6,2,5,1,0,0,0,0,0,0,0,false,2,1,1
1716727679644,1,1716699600379,1716727679644,TIMEOUT,,0,0,2-6,2,6,2,5,1,0,0,0,0,0,0,0,false,,1,1
1716727783676,1,1716699600379,1716727783676,SCOREBOARD,,0,0,2-6,2,6,2,5,1,0,0,0,0,0,0,0,false,,1,1
1716727791100,1,1716699600379,1716727791100,BLUE_HEAD_POINT,SCOREBOARD_EDITOR,3,0,5-6,5,6,5,5,1,0,0,0,0,0,0,0,false,SCOREBOARD_EDITOR,1,1
1716727792950,1,1716699600379,1716727792950,SCOREBOARD,,0,0,5-6,5,6,5,5,1,0,0,0,0,0,0,0,false,,1,1
1716727797695,1,1716699600379,1716727797696,BLUE_HEAD_TECH_POINT,SCOREBOARD_EDITOR,2,0,7-6,7,6,7,5,1,0,0,0,0,0,0,0,false,SCOREBOARD_EDITOR,1,1
1716727800827,1,1716699600379,1716727800827,RESUME,,0,0,7-6,7,6,7,5,1,0,0,0,0,0,0,0,false,,1,1
1716727801465,1,1716699600000,1716727801466,OT_RED_BODY_HIT,7,0,0,7-6,7,6,7,5,1,0,1,0,0,0,0,0,false,7,1,1
1716727801939,1,1716699600000,1716727801939,OT_BLUE_BODY_HIT,4,0,0,7-6,7,6,7,5,1,0,1,0,0,0,0,0,false,4,1,1
1716727802092,1,1716699600000,1716727802092,OT_RED_BODY_HIT,12,0,0,7-6,7,6,7,5,1,0,1,0,0,0,0,0,false,12,1,1
1716727807398,1,1716699600000,1716727807398,END_ROUND,,0,0,7-6,7,6,7,5,1,0,1,0,0,0,0,0,false,,1,1
1716727870840,2,1716699720000,1716727870840,START_ROUND,,0,0,0-0,0,0,0,0,0,0,1,0,0,0,0,0,false,,1,1
1716727875463,2,1716699715377,1716727875463,BLUE_BODY_HIT,5,0,0,0-0,0,0,0,0,0,0,1,0,0,0,0,0,false,5,1,1
1716727931151,2,1716699659689,1716727931151,RED_BODY_HIT,5,0,0,0-0,0,0,0,0,0,0,1,0,0,0,0,0,false,5,1,1
1716727946140,2,1716699644701,1716727946140,BLUE_BODY_HIT,5,0,0,0-0,0,0,0,0,0,0,1,0,0,0,0,0,false,5,1,1
1716727946199,2,1716699644642,1716727946199,BLUE_HEAD_HIT,7,0,0,3-0,3,0,0,0,0,0,1,0,0,0,0,0,false,7,1,1
1716727946199,2,1716699644640,1716727946202,BLUE_HEAD_POINT,SENSOR,3,0,3-0,3,0,3,0,0,0,1,0,0,0,0,0,false,SENSOR,1,1
1716727972268,2,1716699618573,1716727972269,BLUE_BODY_HIT,10,0,0,3-0,3,0,3,0,0,0,1,0,0,0,0,0,false,10,1,1
1716727988247,2,1716699602604,1716727988247,TIMEOUT,,0,0,3-0,3,0,3,0,0,0,1,0,0,0,0,0,false,,1,1
1716728030087,2,1716699602604,1716728030087,OT_BLUE_JUDGE_PUNCH,1,0,0,3-0,3,0,3,0,0,0,1,0,0,0,0,0,false,1,1,1
