systemTime,matchLogItemType,eventTime,roundNumber,roundTime,entryValue,blueAddPoints,redAddPoints,score,blueGeneralPoints,redGeneralPoints,bluePoints,redPoints,bluePenalties,redPenalties,blueTotalPenalties,redTotalPenalties,blueGoldenPointHits,redGoldenPointHits,blueGoldenPointPenalties,redGoldenPointPenalties,goldenPointRound,entryValue.1,blueVideoQuota,redVideoQuota
1716702688715,START_ROUND,,,,,,,,,,,,,,,,,,,,,,,
1716703113714,START_MATCH,1716703113714.0,1.0,1716699720000.0,,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716703113715,START_ROUND,1716703113715.0,1.0,1716699720000.0,,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716703117286,BLUE_BODY_HIT,1716703117286.0,1.0,1716699716431.0,23,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,23,1.0,1.0
1716703117297,BLUE_BODY_POINT,1716703117286.0,1.0,1716699716427.0,SENSOR,2.0,0.0,2-0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,SENSOR,1.0,1.0
1716703119392,RED_BODY_HIT,1716703119392.0,1.0,1716699714326.0,15,0.0,0.0,2-0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,15,1.0,1.0
1716703120326,BLUE_BODY_HIT,1716703120326.0,1.0,1716699713391.0,31,0.0,0.0,2-0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,31,1.0,1.0
1716703120331,BLUE_BODY_POINT,1716703120326.0,1.0,1716699713387.0,SENSOR,2.0,0.0,4-0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,SENSOR,1.0,1.0
1716703123476,RED_JUDGE_PUNCH,1716703123475.0,1.0,1716699710240.0,1,0.0,0.0,4-0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1,1.0,1.0
1716703123988,TIMEOUT,1716703123988.0,1.0,1716699709738.0,,0.0,0.0,4-0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716703124318,OT_RED_JUDGE_PUNCH,1716703124318.0,1.0,1716699709736.0,1,0.0,0.0,4-0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1,1.0,1.0
1716703127981,RED_ADD_GAME_JEON,1716703127979.0,1.0,1716699709736.0,MAIN_CONTROL,0.0,0.0,5-0,5.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,MAIN_CONTROL,1.0,1.0
1716703130675,RESUME,1716703130675.0,1.0,1716699709736.0,,0.0,0.0,5-0,5.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716703132499,BLUE_JUDGE_PUNCH,1716703132499.0,1.0,1716699707913.0,2,0.0,0.0,5-0,5.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2,1.0,1.0
1716703132724,TIMEOUT,1716703132724.0,1.0,1716699707699.0,,0.0,0.0,5-0,5.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716703137152,RESUME,1716703137152.0,1.0,1716699707697.0,,0.0,0.0,5-0,5.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716703138817,TIMEOUT,1716703138817.0,1.0,1716699706044.0,,0.0,0.0,5-0,5.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716703140791,SCOREBOARD,1716703140791.0,1.0,1716699706042.0,,0.0,0.0,5-0,5.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716703145715,RESUME,1716703145715.0,1.0,1716699706042.0,,0.0,0.0,5-0,5.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716703156980,BLUE_HEAD_HIT,1716703156980.0,1.0,1716699694778.0,31,0.0,0.0,5-0,5.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,31,1.0,1.0
1716703156985,BLUE_HEAD_POINT,1716703156980.0,1.0,1716699694775.0,SENSOR,3.0,0.0,8-0,8.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,SENSOR,1.0,1.0
1716703161407,RED_BODY_HIT,1716703161407.0,1.0,1716699690351.0,14,0.0,0.0,8-0,8.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,14,1.0,1.0
1716703163528,TIMEOUT,1716703163528.0,1.0,1716699688240.0,,0.0,0.0,8-0,8.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716703168132,RESUME,1716703168132.0,1.0,1716699688240.0,,0.0,0.0,8-0,8.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716703176991,BLUE_BODY_HIT,1716703176991.0,1.0,1716699679380.0,11,0.0,0.0,8-0,8.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,11,1.0,1.0
1716703179626,BLUE_BODY_HIT,1716703179626.0,1.0,1716699676747.0,7,0.0,0.0,8-0,8.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,7,1.0,1.0
1716703183924,RED_BODY_HIT,1716703183924.0,1.0,1716699672448.0,28,0.0,0.0,8-0,8.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,28,1.0,1.0
1716703183929,RED_BODY_POINT,1716703183924.0,1.0,1716699672444.0,SENSOR,0.0,2.0,8-2,8.0,2.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,SENSOR,1.0,1.0
1716703186035,TIMEOUT,1716703186035.0,1.0,1716699670347.0,,0.0,0.0,8-2,8.0,2.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716703194045,RED_ADD_GAME_JEON,1716703194045.0,1.0,1716699670345.0,MAIN_CONTROL,0.0,0.0,9-2,9.0,2.0,7.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,False,MAIN_CONTROL,1.0,1.0
1716703197461,SCOREBOARD,1716703197461.0,1.0,1716699670345.0,,0.0,0.0,9-2,9.0,2.0,7.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716703199757,RED_BODY_TECH_POINT,1716703199756.0,1.0,1716699670345.0,SCOREBOARD_EDITOR,0.0,2.0,9-4,9.0,4.0,7.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,False,SCOREBOARD_EDITOR,1.0,1.0
1716703202344,RESUME,1716703202344.0,1.0,1716699670345.0,,0.0,0.0,9-4,9.0,4.0,7.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716703206760,RED_JUDGE_BODY_TECH,1716703206760.0,1.0,1716699665929.0,1,0.0,0.0,9-4,9.0,4.0,7.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1,1.0,1.0
1716703206842,RED_JUDGE_BODY_TECH,1716703206842.0,1.0,1716699665847.0,2,0.0,0.0,9-4,9.0,4.0,7.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2,1.0,1.0
1716703209328,TIMEOUT,1716703209328.0,1.0,1716699663371.0,,0.0,0.0,9-4,9.0,4.0,7.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716703216853,RED_ADD_GAME_JEON,1716703216852.0,1.0,1716699663371.0,MAIN_CONTROL,0.0,0.0,10-4,10.0,4.0,7.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,False,MAIN_CONTROL,1.0,1.0
1716703219339,RESUME,1716703219339.0,1.0,1716699663371.0,,0.0,0.0,10-4,10.0,4.0,7.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716703229562,TIMEOUT,1716703229562.0,1.0,1716699653158.0,,0.0,0.0,10-4,10.0,4.0,7.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716703236108,RED_ADD_GAME_JEON,1716703236108.0,1.0,1716699653158.0,MAIN_CONTROL,0.0,0.0,11-4,11.0,4.0,7.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,False,MAIN_CONTROL,1.0,1.0
1716703241118,RESUME,1716703241118.0,1.0,1716699653158.0,,0.0,0.0,11-4,11.0,4.0,7.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716703244823,TIMEOUT,1716703244823.0,1.0,1716699649465.0,,0.0,0.0,11-4,11.0,4.0,7.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716703244919,OT_BLUE_BODY_HIT,1716703244919.0,1.0,1716699649463.0,16,0.0,0.0,11-4,11.0,4.0,7.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,False,16,1.0,1.0
1716703245275,OT_RED_BODY_HIT,1716703245275.0,1.0,1716699649463.0,23,0.0,0.0,11-4,11.0,4.0,7.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,False,23,1.0,1.0
1716703317053,SCOREBOARD,1716703317053.0,1.0,1716699649463.0,,0.0,0.0,11-4,11.0,4.0,7.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716703319938,BLUE_HEAD_POINT,1716703319936.0,1.0,1716699649463.0,SCOREBOARD_EDITOR,3.0,0.0,14-4,14.0,4.0,10.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,False,SCOREBOARD_EDITOR,1.0,1.0
1716703323462,RESUME,1716703323462.0,1.0,1716699649463.0,,0.0,0.0,14-4,14.0,4.0,10.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716703325782,BLUE_JUDGE_PUNCH,1716703325781.0,1.0,1716699647145.0,1,0.0,0.0,14-4,14.0,4.0,10.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1,1.0,1.0
1716703325875,BLUE_JUDGE_BODY_TECH,1716703325875.0,1.0,1716699647051.0,2,0.0,0.0,14-4,14.0,4.0,10.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2,1.0,1.0
1716703331565,RED_BODY_HIT,1716703331565.0,1.0,1716699641361.0,11,0.0,0.0,14-4,14.0,4.0,10.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,False,11,1.0,1.0
1716703337097,TIMEOUT,1716703337097.0,1.0,1716699635838.0,,0.0,0.0,14-4,14.0,4.0,10.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716703340866,RED_ADD_GAME_JEON,1716703340860.0,1.0,1716699635838.0,MAIN_CONTROL,0.0,0.0,15-4,15.0,4.0,10.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,False,MAIN_CONTROL,1.0,1.0
1716703340886,TIMEOUT,1716703340885.0,1.0,1716699600000.0,,0.0,0.0,15-4,15.0,4.0,10.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716703342463,END_ROUND,1716703342463.0,1.0,1716699600000.0,,0.0,0.0,15-4,15.0,4.0,10.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716703355687,OT_BLUE_JUDGE_BODY_TECH,1716703355687.0,1.0,1716699600000.0,2,0.0,0.0,15-4,15.0,4.0,10.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2,1.0,1.0
1716703355962,OT_RED_JUDGE_BODY_TECH,1716703355962.0,1.0,1716699600000.0,2,0.0,0.0,15-4,15.0,4.0,10.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2,1.0,1.0
1716703356660,OT_BLUE_JUDGE_PUNCH,1716703356660.0,1.0,1716699600000.0,2,0.0,0.0,15-4,15.0,4.0,10.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2,1.0,1.0
1716703356886,OT_RED_JUDGE_PUNCH,1716703356886.0,1.0,1716699600000.0,2,0.0,0.0,15-4,15.0,4.0,10.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2,1.0,1.0
1716703407954,START_ROUND,1716703407954.0,2.0,1716699720000.0,,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716703408909,BLUE_BODY_HIT,1716703408909.0,2.0,1716699719045.0,27,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,27,1.0,1.0
1716703408913,BLUE_BODY_POINT,1716703408909.0,2.0,1716699719042.0,SENSOR,2.0,0.0,2-0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,SENSOR,1.0,1.0
1716703416365,RED_BODY_HIT,1716703416365.0,2.0,1716699711589.0,20,0.0,0.0,2-0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,20,1.0,1.0
1716703419012,BLUE_BODY_HIT,1716703419012.0,2.0,1716699708942.0,8,0.0,0.0,2-0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,8,1.0,1.0
1716703419217,RED_BODY_HIT,1716703419216.0,2.0,1716699708738.0,11,0.0,0.0,2-0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,11,1.0,1.0
1716703425918,RED_BODY_HIT,1716703425918.0,2.0,1716699702037.0,12,0.0,0.0,2-0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,12,1.0,1.0
1716703426421,BLUE_BODY_HIT,1716703426421.0,2.0,1716699701533.0,12,0.0,0.0,2-0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,12,1.0,1.0
1716703434981,BLUE_JUDGE_PUNCH,1716703434981.0,2.0,1716699692973.0,2,0.0,0.0,2-0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2,1.0,1.0
